hv001,Secondaryage,NARSec,
1361,9,1,0.111111111
1362,10,0,0
1363,12,2,0.166666667
1364,9,2,0.222222222
1365,10,1,0.1
1366,9,0,0
1367,13,2,0.153846154
1368,3,1,0.333333333
1369,8,0,0
1370,11,0,0
1371,7,0,0
1372,6,0,0
1373,6,1,0.166666667
1374,7,0,0
1375,18,6,0.333333333
1376,11,4,0.363636364
1377,12,8,0.666666667
1378,1,0,0
1379,1,0,0
1380,3,0,0
1381,8,2,0.25
1382,1,0,0
1383,9,2,0.222222222
1384,7,1,0.142857143
1385,4,1,0.25
1386,7,0,0
1387,9,0,0
1388,6,1,0.166666667
1389,0,0,.
1390,1,1,1
1391,2,1,0.5
1392,0,0,.
1393,2,0,0
1394,3,1,0.333333333
1395,2,0,0
1396,4,3,0.75
1397,7,4,0.571428571
1398,1,0,0
1399,4,3,0.75
1400,1,0,0
1401,0,0,.
1402,0,0,.
1403,0,0,.
1404,5,4,0.8
1405,3,2,0.666666667
1406,2,1,0.5
1407,5,3,0.6
1408,3,1,0.333333333
1409,7,3,0.428571429
1410,7,4,0.571428571
1411,12,2,0.166666667
1412,4,0,0
1413,11,6,0.545454545
1414,5,5,1
1415,8,3,0.375
1416,8,3,0.375
1417,15,4,0.266666667
1418,3,1,0.333333333
1419,2,1,0.5
1420,3,2,0.666666667
1421,10,2,0.2
1422,6,2,0.333333333
1423,8,2,0.25
1424,8,3,0.375
1425,13,1,0.076923077
1426,6,3,0.5
1427,5,0,0
1428,9,2,0.222222222
1429,11,7,0.636363636
1430,7,3,0.428571429
1431,9,5,0.555555556
1432,5,2,0.4
1433,11,2,0.181818182
1434,2,0,0
1435,5,2,0.4
1436,12,4,0.333333333
1437,8,3,0.375
1438,6,2,0.333333333
1439,4,1,0.25
1440,11,7,0.636363636
1441,0,0,.
1442,3,0,0
1443,6,3,0.5
1444,5,3,0.6
1445,8,3,0.375
1446,15,5,0.333333333
1447,11,7,0.636363636
1448,7,2,0.285714286
1449,7,3,0.428571429
1450,6,1,0.166666667
1451,0,0,.
1452,3,1,0.333333333
1453,11,2,0.181818182
1454,16,5,0.3125
1455,16,2,0.125
1456,9,0,0
1457,10,3,0.3
1458,10,0,0
1459,10,1,0.1
1460,8,6,0.75
1461,6,1,0.166666667
1462,7,2,0.285714286
1463,4,2,0.5
1464,12,0,0
1465,19,3,0.157894737
1466,11,3,0.272727273
1467,9,3,0.333333333
1468,11,2,0.181818182
1469,11,2,0.181818182
1470,9,1,0.111111111
1471,5,0,0
1472,13,3,0.230769231
1473,8,2,0.25
1474,10,2,0.2
1475,13,5,0.384615385
1476,12,3,0.25
1477,4,1,0.25
1478,2,0,0
1479,4,1,0.25
1480,1,0,0
1481,3,1,0.333333333
1482,4,0,0
1483,9,1,0.111111111
1484,15,7,0.466666667
1485,8,1,0.125
1486,7,3,0.428571429
1487,8,4,0.5
1488,8,2,0.25
1489,9,5,0.555555556
1490,15,4,0.266666667
1491,7,2,0.285714286
1492,9,4,0.444444444
1493,10,4,0.4
1494,11,5,0.454545455
1495,9,2,0.222222222
1496,4,1,0.25
1497,11,4,0.363636364
1498,8,2,0.25
1499,8,4,0.5
1500,10,2,0.2
1501,7,2,0.285714286
1502,7,3,0.428571429
1503,0,0,.
1504,2,1,0.5
1505,5,0,0
1506,6,3,0.5
1507,10,3,0.3
1508,10,3,0.3
1509,8,2,0.25
1510,5,1,0.2
1511,13,1,0.076923077
1512,9,2,0.222222222
1513,10,5,0.5
1514,16,8,0.5
1515,9,6,0.666666667
1516,15,5,0.333333333
1517,13,7,0.538461538
1518,14,4,0.285714286
1519,8,2,0.25
1520,13,7,0.538461538
1521,7,3,0.428571429
1522,17,8,0.470588235
1523,13,2,0.153846154
1524,4,2,0.5
1525,13,4,0.307692308
1526,2,1,0.5
1527,11,3,0.272727273
1528,14,5,0.357142857
1529,12,3,0.25
1530,12,9,0.75
1531,6,1,0.166666667
1532,6,4,0.666666667
1533,17,9,0.529411765
1534,3,2,0.666666667
1535,11,2,0.181818182
1536,11,7,0.636363636
1537,13,7,0.538461538
1538,11,2,0.181818182
1539,11,5,0.454545455
1540,14,6,0.428571429
1541,12,2,0.166666667
1542,7,2,0.285714286
1543,9,1,0.111111111
1544,3,1,0.333333333
1545,5,3,0.6
1546,3,2,0.666666667
1547,10,3,0.3
1548,15,5,0.333333333
1549,18,4,0.222222222
1550,14,0,0
1551,13,2,0.153846154
1552,12,4,0.333333333
1553,8,2,0.25
1554,12,1,0.083333333
1555,17,6,0.352941176
1556,5,2,0.4
1557,6,2,0.333333333
1558,7,2,0.285714286
1559,19,5,0.263157895
1560,14,3,0.214285714
1561,9,0,0
1562,12,5,0.416666667
1563,2,0,0
1564,8,3,0.375
1565,7,2,0.285714286
1566,3,1,0.333333333
1567,14,0,0
1568,7,2,0.285714286
1569,8,1,0.125
1570,9,1,0.111111111
1571,19,4,0.210526316
1572,13,5,0.384615385
1573,21,3,0.142857143
1574,9,4,0.444444444
1575,15,4,0.266666667
1576,9,1,0.111111111
1577,10,3,0.3
1578,7,2,0.285714286
1579,9,1,0.111111111
1580,5,1,0.2
1581,2,1,0.5
1582,2,1,0.5
1583,10,2,0.2
1584,18,5,0.277777778
1585,12,1,0.083333333
1586,7,4,0.571428571
1587,11,1,0.090909091
1588,14,2,0.142857143
1589,14,3,0.214285714
1590,7,2,0.285714286
1591,10,0,0
1592,12,0,0
1593,13,2,0.153846154
1594,12,0,0
1595,13,2,0.153846154
1596,5,1,0.2
1597,7,3,0.428571429
1598,5,2,0.4
1599,11,1,0.090909091
1600,6,1,0.166666667
1601,18,5,0.277777778
1602,12,1,0.083333333
1603,3,1,0.333333333
1604,7,0,0
1605,7,1,0.142857143
1606,6,2,0.333333333
1607,10,0,0
1608,12,1,0.083333333
1609,15,4,0.266666667
1610,12,2,0.166666667
1611,4,0,0
1612,8,2,0.25
,11837,3535,0.317654642
