v001,currentlymarriedwomen,employedandmarried,
1407,9,4,0.444444444
1408,5,4,0.8
1409,7,7,1
1410,6,6,1
1411,3,3,1
1412,6,5,0.833333333
1413,3,3,1
1414,2,1,0.5
1415,8,8,1
1416,4,4,1
1417,8,8,1
1418,5,4,0.8
1419,3,1,0.333333333
1420,4,3,0.75
1421,7,7,1
1422,4,4,1
1423,7,6,0.857142857
1424,4,4,1
1425,11,11,1
1426,4,4,1
1427,6,6,1
1428,5,5,1
1429,6,6,1
1430,6,5,0.833333333
1431,8,6,0.75
1432,2,2,1
1433,7,7,1
1434,4,4,1
1435,8,7,0.875
1436,7,7,1
1437,5,5,1
1438,9,8,0.888888889
1439,3,3,1
1440,8,8,1
1441,3,3,1
1442,4,4,1
1443,4,4,1
1444,1,1,1
1445,8,8,1
1446,4,3,0.75
1447,3,2,0.666666667
1448,5,5,1
1449,6,6,1
1450,5,5,1
1451,2,1,0.5
1452,5,4,0.8
1453,4,4,1
1454,5,5,1
1455,8,7,0.875
1456,7,7,1
1457,6,5,0.833333333
1458,10,8,0.8
1459,4,0,0
1460,4,4,1
1461,11,11,1
1462,3,2,0.666666667
1463,6,5,0.833333333
1464,4,3,0.75
1465,8,8,1
1466,6,4,0.666666667
1467,6,6,1
1468,6,4,0.666666667
1469,7,6,0.857142857
1470,9,6,0.666666667
1471,7,5,0.714285714
1472,8,6,0.75
1473,7,6,0.857142857
1474,6,6,1
1475,7,5,0.714285714
1476,4,2,0.5
1477,7,5,0.714285714
1478,1,0,0
1479,9,6,0.666666667
1480,4,2,0.5
1481,7,6,0.857142857
1482,7,4,0.571428571
1483,4,4,1
1484,5,4,0.8
1485,11,7,0.636363636
1486,5,4,0.8
1487,6,4,0.666666667
1488,9,6,0.666666667
1489,5,5,1
1490,5,3,0.6
1491,7,6,0.857142857
1492,6,4,0.666666667
1493,6,4,0.666666667
1494,7,4,0.571428571
1495,5,4,0.8
1496,6,2,0.333333333
1497,5,4,0.8
1498,5,1,0.2
1499,4,4,1
1500,5,3,0.6
1501,6,5,0.833333333
1502,6,3,0.5
1503,4,3,0.75
1504,3,3,1
1505,6,5,0.833333333
1506,8,8,1
1507,5,4,0.8
1508,4,3,0.75
1509,7,2,0.285714286
1510,6,3,0.5
1511,8,6,0.75
1512,3,2,0.666666667
1513,5,4,0.8
1514,6,2,0.333333333
1515,4,3,0.75
1516,2,1,0.5
1517,3,0,0
1518,6,3,0.5
1519,7,4,0.571428571
1520,5,4,0.8
1521,5,5,1
1522,6,4,0.666666667
1523,9,9,1
1524,8,6,0.75
1525,7,5,0.714285714
1526,6,4,0.666666667
1527,4,3,0.75
1528,4,4,1
1529,5,4,0.8
1530,4,1,0.25
1531,5,2,0.4
1532,6,0,0
1533,8,6,0.75
1534,3,3,1
1535,3,2,0.666666667
1536,8,5,0.625
1537,6,3,0.5
1538,4,3,0.75
1539,3,2,0.666666667
1540,4,3,0.75
1541,9,5,0.555555556
1542,4,3,0.75
1543,8,7,0.875
1544,7,5,0.714285714
1545,6,4,0.666666667
1546,6,5,0.833333333
1547,7,5,0.714285714
1548,6,6,1
1549,7,6,0.857142857
1550,4,4,1
1551,7,6,0.857142857
1552,7,5,0.714285714
1553,10,10,1
1554,7,7,1
1555,8,8,1
1556,1,1,1
1557,8,7,0.875
1558,3,3,1
1559,5,5,1
1560,6,5,0.833333333
1561,4,4,1
1562,8,7,0.875
1563,5,4,0.8
1564,7,7,1
1565,5,4,0.8
1566,4,1,0.25
1567,8,7,0.875
1568,11,8,0.727272727
1569,6,5,0.833333333
1570,3,3,1
1571,6,6,1
1572,8,6,0.75
1573,8,6,0.75
1574,5,5,1
1575,8,7,0.875
1576,4,4,1
1577,5,4,0.8
1578,8,7,0.875
1579,4,3,0.75
1580,7,6,0.857142857
1581,4,4,1
1582,6,4,0.666666667
1583,8,8,1
1584,8,7,0.875
1585,7,7,1
1586,6,6,1
1587,8,8,1
1588,5,5,1
1589,7,6,0.857142857
1590,3,3,1
1591,7,7,1
1592,3,3,1
1593,7,4,0.571428571
1594,10,6,0.6
1595,5,2,0.4
1596,9,9,1
1597,5,3,0.6
1598,7,6,0.857142857
1599,6,4,0.666666667
1600,5,5,1
1601,5,4,0.8
1602,8,6,0.75
1603,5,5,1
1604,7,4,0.571428571
1605,7,6,0.857142857
1606,2,2,1
1607,9,9,1
1608,6,6,1
1609,6,6,1
1610,8,7,0.875
1611,5,2,0.4
1612,5,4,0.8
,9015,6264,0.696761456
